#taxon1	taxon2	branchsynmean	branchsynrelvar
Loxodonta_africana_E	Trichechus_manatus_E	0.0493273	0.123661
Loxodonta_africana_E	Procavia_capensis_E	0.0093445	0.11791
Loxodonta_africana_E	Loxodonta_africana_E	0.0891871	0.100219
Procavia_capensis_E	Procavia_capensis_E	0.176572	0.112055
Trichechus_manatus_E	Trichechus_manatus_E	0.0752407	0.108661
Choloepus_hoffmanni_E	Muscardinus_avellanarius_E	0.0352671	0.0907862
Choloepus_hoffmanni_E	Choloepus_hoffmanni_E	0.167432	0.0899992
Condylura_cristata_E	Muscardinus_avellanarius_E	0.0302951	0.133917
Condylura_cristata_E	Panthera_tigris_E	0.0249818	0.109097
Condylura_cristata_E	Solenodon_paradoxus_E	0.0334803	0.20453
Condylura_cristata_E	Condylura_cristata_E	0.215369	0.112683
Solenodon_paradoxus_E	Solenodon_paradoxus_E	0.202395	0.108796
Aeorestes_cinereus_E	Panthera_tigris_E	0.00844314	0.105661
Aeorestes_cinereus_E	Pteropus_alecto_E	0.030057	0.155481
Aeorestes_cinereus_E	Micronycteris_hirsuta_E	0.0330684	0.15193
Aeorestes_cinereus_E	Miniopterus_natalensis_E	0.0251284	0.192386
Aeorestes_cinereus_E	Aeorestes_cinereus_E	0.149299	0.25039
Miniopterus_natalensis_E	Miniopterus_natalensis_E	0.0951672	0.138031
Anoura_caudifer_E	Micronycteris_hirsuta_E	0.0771803	0.204702
Anoura_caudifer_E	Desmodus_rotundus_E	0.00583594	0.121046
Anoura_caudifer_E	Tonatia_saurophila_E	0.0139104	0.144781
Anoura_caudifer_E	Anoura_caudifer_E	0.0590206	0.142444
Phyllostomus_discolor_E	Tonatia_saurophila_E	0.0228598	0.160454
Phyllostomus_discolor_E	Phyllostomus_discolor_E	0.0542487	0.213763
Tonatia_saurophila_E	Tonatia_saurophila_E	0.052215	0.149872
Desmodus_rotundus_E	Desmodus_rotundus_E	0.0609816	0.114351
Micronycteris_hirsuta_E	Micronycteris_hirsuta_E	0.0745178	0.163917
Hipposideros_armiger_E	Pteropus_alecto_E	0.012603	0.178718
Hipposideros_armiger_E	Megaderma_lyra_E	0.0182615	0.129675
Hipposideros_armiger_E	Rhinolophus_ferrumequinum_E	0.0326597	0.127201
Hipposideros_armiger_E	Hipposideros_armiger_E	0.069992	0.098891
Rhinolophus_ferrumequinum_E	Rhinolophus_ferrumequinum_E	0.0709219	0.0881964
Megaderma_lyra_E	Megaderma_lyra_E	0.135119	0.177522
Macroglossus_sobrinus_E	Pteropus_alecto_E	0.088922	0.158653
Macroglossus_sobrinus_E	Rousettus_aegyptiacus_E	0.00505914	0.163447
Macroglossus_sobrinus_E	Macroglossus_sobrinus_E	0.0616984	0.254056
Rousettus_aegyptiacus_E	Rousettus_aegyptiacus_E	0.0489848	0.117509
Pteropus_alecto_E	Pteropus_alecto_E	0.033342	0.12058
Aepyceros_melampus_E	Panthera_tigris_E	0.00328471	0.11156
Aepyceros_melampus_E	Tapirus_terrestris_E	0.00478902	0.120996
Aepyceros_melampus_E	Vicugna_pacos_E	0.044608	0.175247
Aepyceros_melampus_E	Hippopotamus_amphibius_E	0.026822	0.124934
Aepyceros_melampus_E	Tragulus_javanicus_E	0.0487719	0.132641
Aepyceros_melampus_E	Okapia_johnstoni_E	0.0518019	0.0924139
Aepyceros_melampus_E	Muntiacus_reevesi_E	0.0058111	0.122289
