Order,Family,Genus,Species,Subspecies,Genus_Species,Sex,Sample size (Brain),Brain Volume (ml),Brain Volume S.D.,Method,Brain mass (g),Brain mass S.D.,Sample size (Body),Body mass (g),Body mass S.D.,Species Name in original article,Age Class,Reference,Remark
Afrosoricida,Chrysochloridae,Chrysochloris,asiatica,,Chrysochloris_asiatica,unknown,1,,,Mass,0.7,,,49,,,Adult,Stephan H et al. (1981) Folia Primatol. 35:1-29,
Afrosoricida,Chrysochloridae,Chrysochloris,stuhlmanni,,Chrysochloris_stuhlmanni,unknown,2,,,Mass,0.74,,,39.8,,,Adult,Stephan H et al. (1981) Folia Primatol. 35:1-29,
Afrosoricida,Chrysochloridae,Chrysochloris,stuhlmanni,,Chrysochloris_stuhlmanni,unknown,1,,,Mass,1.37,,,60.3,,,Adult,Mace GM et al. (1981) J. Zool. 193:333-354,
Afrosoricida,Tenrecidae,Echinops,telfairi,,Echinops_telfairi,unknown,2,,,Mass,0.62,,,87.5,,,Adult,Stephan H et al. (1981) Folia Primatol. 35:1-29,
Afrosoricida,Tenrecidae,Hemicentetes,semispinosus,,Hemicentetes_semispinosus,unknown,1,,,Mass,0.83,,,110,,,Adult,Stephan H et al. (1981) Folia Primatol. 35:1-29,
Afrosoricida,Tenrecidae,Limnogale,mergulus,,Limnogale_mergulus,unknown,1,,,Mass,1.15,,,92,,,Adult,Stephan H et al. (1981) Folia Primatol. 35:1-29,
Afrosoricida,Tenrecidae,Microgale,cowani,,Microgale_cowani,unknown,1,,,Mass,0.42,,,15.2,,,Adult,Stephan H et al. (1981) Folia Primatol. 35:1-29,
Afrosoricida,Tenrecidae,Microgale,dobsoni,,Microgale_dobsoni,unknown,1,,,Mass,0.56,,,32.6,,,Adult,Stephan H et al. (1981) Folia Primatol. 35:1-29,
Afrosoricida,Tenrecidae,Microgale,talazaci,,Microgale_talazaci,unknown,1,,,Mass,0.79,,,50.4,,,Adult,Stephan H et al. (1981) Folia Primatol. 35:1-29,
Afrosoricida,Tenrecidae,Micropotamogale,lamottei,,Micropotamogale_lamottei,unknown,3,,,Mass,0.8,,,64.2,,,unknown,Stephan H et al. (1981) Folia Primatol. 35:1-29,
Afrosoricida,Tenrecidae,Oryzorictes,hova,,Oryzorictes_hova,unknown,1,,,Mass,0.58,,,44.2,,,Adult,Stephan H et al. (1981) Folia Primatol. 35:1-29,
Afrosoricida,Tenrecidae,Potamogale,velox,,Potamogale_velox,unknown,1,,,Mass,3.931,,,640,,,Adult,Stolzenburg J et al. (1989) Glia 2:78-84,
Afrosoricida,Tenrecidae,Potamogale,velox,,Potamogale_velox,unknown,2,,,Mass,4.16,,,660,,,Adult,Stephan H et al. (1981) Folia Primatol. 35:1-29,
Afrosoricida,Tenrecidae,Setifer,setosus,,Setifer_setosus,unknown,2,,,Mass,1.51,,,248,,,Adult,Stephan H et al. (1981) Folia Primatol. 35:1-29,
Afrosoricida,Tenrecidae,Setifer,setosus,,Setifer_setosus,unknown,4,1.97,,Vol,,,,248,,,Adult,Stankowich T and Romero AN (2017) Proc. R. Soc. B. 284:20161857,
Afrosoricida,Tenrecidae,Tenrec,ecaudatus,,Tenrec_ecaudatus,unknown,3,,,Mass,2.57,,,832,,,Adult,Stephan H et al. (1981) Folia Primatol. 35:1-29,
Afrosoricida,Tenrecidae,Tenrec,ecaudatus,,Tenrec_ecaudatus,unknown,1,,,Mass,3.1,,,982,,,Adult,Warncke P (1908) J. Physiol. Neurol. 13:355-403,
Carnivora,Ailuridae,Ailurus,fulgens,,Ailurus_fulgens,unknown,1,,,Mass,46.8,,,5590,,,Adult,Warncke P (1908) J. Physiol. Neurol. 13:355-403,
Carnivora,Ailuridae,Ailurus,fulgens,,Ailurus_fulgens,unknown,1,,,Mass,41.6,,,5600,,,unknown,Bauchot R (1985) Mammalia 49:561-564,
