SPECIES_BINOMIAL,GENUS,SPECIES,FAMILY,IUCN_STATUS,THREATENED_STATUS,GEOGRAPHIC_REGION,MEDIAN_N_HET,MEDIAN_CALLABLE,MEDIAN_nRoH_1mb,MEDIAN_sRoH_1mb,MEDIAN_fRoH_1mb,MEDIAN_COVERAGE,REFERENCE_LENGTH,MEDIAN_HETEROZYGOSITY,GENERATION_LENGTH,MU_PER_GENERATION,MU_PER_YEAR,EFFECTIVE_POP_SIZE,CombinedTestesMass.in.g,BrainSizeSpeciesMean,Body.MassMaleMean,BodyMassFemaleMean,MassDimorphism,CanineDimorphism,MeanGroupSize,AdultMales,AdultFemale,AdultSexRatio,InterbirthInterval_days,Gestation,WeaningAge_d,MaxLongevity_m,LitterSz,GR_MidRangeLat_dd,Precip_Mean_mm,Temp_Mean_degC,AET_Mean_mm,PET_Mean_mm,HomeRange_km2,DayLength_km,Territoriality,Fruit,Leaves,Fauna,Feed,Move,Rest,Social,Mating.System,SocialSystem,NatalDispersal
Allenopithecus_nigroviridis,Allenopithecus,nigroviridis,Cercopithecidae,LC,Unthreatened,MAINLAND_AFRICA,3264818,2358786082,68,117300000,0.041547954,28.025,2823243693,0.001386205,10,3.33E-09,3.33E-10,104069,16.96,58.02,6130,3180,1928,2.21,NA,NA,NA,NA,NA,NA,106.15,276,1.01,-0.17,1574,25.2,1517.8,1589.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Polygynandry,Sexbiased
Allochrocebus_lhoesti,Allochrocebus,lhoesti,Cercopithecidae,VU,Threatened,MAINLAND_AFRICA,6593671.5,2409475330,48,171400000,0.06071031,28.07,2823243693,0.002737645,10,5.46E-09,5.46E-10,125350,NA,74.2,5970,3450,1730,1.84,NA,NA,NA,NA,485.45,NA,NA,192,1,-1.13,1271.3,22.6,1418.5,1597.6,NA,NA,NA,24.5,35.2,8.8,NA,NA,NA,11.4,Harem_Polygyny,Polygyny,Sexbiased
Allochrocebus_preussi,Allochrocebus,preussi,Cercopithecidae,EN,Threatened,MAINLAND_AFRICA,7207080,2412708198,114,221600000,0.078491276,29.16,2823243693,0.002987133,10,4.91E-09,4.91E-10,152094,NA,NA,NA,NA,NA,1.774,NA,NA,NA,NA,NA,NA,NA,312,1.02,4.78,2348.2,24.5,1255.2,1565.5,NA,NA,NA,51.9,41.4,1,NA,NA,NA,NA,NA,Polygyny,Sexbiased
Allochrocebus_solatus,Allochrocebus,solatus,Cercopithecidae,NT,Unthreatened,MAINLAND_AFRICA,8111551,2366147578,114,454800000,0.161091301,26.61,2823243693,0.003428168,10,4.39E-09,4.39E-10,195226,NA,NA,6890,3920,1758,NA,NA,NA,NA,NA,547.5,NA,NA,NA,1.01,-0.8,1734.9,24.8,1278.6,1502.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Polygyny,Sexbiased
Alouatta_belzebul,Alouatta,belzebul,Atelidae,VU,Threatened,AMERICAS,4780424,2200207707,29,63800000,0.023779096,27.18,2683028796,0.002172715,12,8.54E-09,7.12E-10,63604,NA,52.84,7270,5520,1317,1.811,7,1,1,1,NA,NA,NA,NA,NA,-6.8,1643.5,24.9,1286.6,1549.8,NA,NA,NA,57.3,19.1,0,13.75,18.75,57.3,10,NA,NA,NA
Alouatta_caraya,Alouatta,caraya,Atelidae,NT,Unthreatened,AMERICAS,3202657.5,2112248572,107,321000000,0.119640907,24.795,2683028796,0.001506773,12,7.65E-09,6.38E-10,49241,18.37,52.63,6525,4240,1539,1.542,8,2.3,3.3,1.43,337.62,187,323.16,243.6,1.01,-20.34,1166.4,22.9,1193.1,1404.9,NA,0.4,NA,23.8,67.7,0,15.9,17.6,61.6,4.9,Harem_Polygyny,Polygynandry,Bisexual
Alouatta_discolor,Alouatta,discolor,Atelidae,VU,Threatened,AMERICAS,5379670.5,2193395711,69,277400000,0.103390616,28.285,2683028796,0.002452867,12,1.04E-08,8.67E-10,58963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alouatta_juara,Alouatta,juara,Atelidae,LC,Unthreatened,AMERICAS,6010465.5,2195729770,33,50400000,0.018784741,35.015,2683028796,0.002738039,11,8.02E-09,7.29E-10,85350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alouatta_macconnelli,Alouatta,macconnelli,Atelidae,LC,Unthreatened,AMERICAS,5315059,2198897789,53,109200000,0.040700271,29.59,2683028796,0.002420172,12,9.52E-09,7.93E-10,63555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alouatta_nigerrima,Alouatta,nigerrima,Atelidae,LC,Unthreatened,AMERICAS,6796500.5,2201649030,16.5,48900000,0.018225671,28.75,2683028796,0.003087021,11,8.20E-09,7.45E-10,94116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
